policy,pre_holding_cost_mean,pre_holding_cost_sem,pre_backlog_cost_mean,pre_backlog_cost_sem,pre_system_cost_mean,pre_system_cost_sem,pre_profit_psc_mean,pre_profit_psc_sem,pre_fill_hc1_mean,pre_fill_hc1_sem,pre_fill_hc2_mean,pre_fill_hc2_sem,pre_fill_agg_mean,pre_fill_agg_sem,pre_fill_dispersion_mean,pre_fill_dispersion_sem,pre_lost_u_mean,pre_lost_u_sem,during_holding_cost_mean,during_holding_cost_sem,during_backlog_cost_mean,during_backlog_cost_sem,during_system_cost_mean,during_system_cost_sem,during_profit_psc_mean,during_profit_psc_sem,during_fill_hc1_mean,during_fill_hc1_sem,during_fill_hc2_mean,during_fill_hc2_sem,during_fill_agg_mean,during_fill_agg_sem,during_fill_dispersion_mean,during_fill_dispersion_sem,during_lost_u_mean,during_lost_u_sem,post_holding_cost_mean,post_holding_cost_sem,post_backlog_cost_mean,post_backlog_cost_sem,post_system_cost_mean,post_system_cost_sem,post_profit_psc_mean,post_profit_psc_sem,post_fill_hc1_mean,post_fill_hc1_sem,post_fill_hc2_mean,post_fill_hc2_sem,post_fill_agg_mean,post_fill_agg_sem,post_fill_dispersion_mean,post_fill_dispersion_sem,post_lost_u_mean,post_lost_u_sem,episode_holding_cost_mean,episode_holding_cost_sem,episode_backlog_cost_mean,episode_backlog_cost_sem,episode_system_cost_mean,episode_system_cost_sem,episode_profit_psc_mean,episode_profit_psc_sem,episode_fill_hc1_mean,episode_fill_hc1_sem,episode_fill_hc2_mean,episode_fill_hc2_sem,episode_fill_agg_mean,episode_fill_agg_sem,episode_fill_dispersion_mean,episode_fill_dispersion_sem,episode_lost_u_mean,episode_lost_u_sem,peak_backlog_ds1_mean,peak_backlog_ds1_sem,peak_backlog_ds2_mean,peak_backlog_ds2_sem,peak_backlog_system_mean,peak_backlog_system_sem,aub_ds1_during_post_mean,aub_ds1_during_post_sem,ttr_ds1_mean,ttr_ds1_sem,pre_bullwhip_ds1_mean,pre_bullwhip_ds1_sem,pre_bullwhip_ds2_mean,pre_bullwhip_ds2_sem,during_bullwhip_ds1_mean,during_bullwhip_ds1_sem,during_bullwhip_ds2_mean,during_bullwhip_ds2_sem,post_bullwhip_ds1_mean,post_bullwhip_ds1_sem,post_bullwhip_ds2_mean,post_bullwhip_ds2_sem,episode_bullwhip_ds1_mean,episode_bullwhip_ds1_sem,episode_bullwhip_ds2_mean,episode_bullwhip_ds2_sem,premium_mean,premium_sem,coverage_mean,coverage_sem,dp_cost_mean,dp_cost_sem
compound_baseline,18812.0,90.16546193701757,333.0,39.69024803996171,19145.0,85.9612519807922,186320.75,218.06373856959135,0.9995283985715588,8.289174674308268e-05,0.9997496756326087,5.94165094544578e-05,0.9996386537173942,4.63057301468141e-05,-0.0002212770610500736,0.0001107804401877095,4.55,0.5354535706443552,6830.3,78.83677675058166,922334.0,1860.1430901383524,929164.3,1880.9313637831522,-725313.05,1742.1095733787508,0.9806723360931761,0.0001826123360574373,0.9573377233737151,0.00016439413361194608,0.9690027621814709,0.00015391103156523703,0.023334612719460922,0.00014812118863443847,416.55,2.180626418932726,141728.1,763.6039166864903,134393.0,2023.3216696678187,276121.1,1965.028368484123,316211.65,1961.9015618245162,0.9998128764730186,2.681398573617696e-05,0.9989569342893159,0.000145687752362684,0.999384937875929,7.765503090128864e-05,0.0008559421837028402,0.0001406701996262743,24.25,3.1253420865394452,167370.4,745.022526681682,1057060.0,2678.9240770365823,1224430.4,2514.9027787005607,-222780.65,2553.8759421246677,0.9959477768357747,3.6501819384773785e-05,0.9908386167151664,9.679135233812999e-05,0.9933937833749107,5.32892810379124e-05,0.005109160120608502,0.00010134153347976329,445.35,3.591858483907885,837.15,1.4496369781504108,653.85,4.270631039282628,3053.9,8.617271518355016,31772.8,161.19515142244595,7.0,0.0,2.3250866794803615,0.06024760720105782,2.3250866794803615,0.06024760720105782,1.5199385933309744,0.0035954046136286617,1.0638453983315928,0.0033744283738811943,1.1114241925699626,0.005768596221650242,1.148166858973995,0.006358879148475987,1.1352955157637887,0.0019163506175564518,1.1978678001606569,0.0025883394402526016,0.0,0.0,0.0,0.0,1205285.4,2476.8829067366523
d_oracle,18812.0,90.16546193701757,333.0,39.69024803996171,19145.0,85.9612519807922,186320.75,218.06373856959135,0.9995283985715588,8.289174674308268e-05,0.9997496756326087,5.94165094544578e-05,0.9996386537173942,4.63057301468141e-05,-0.0002212770610500736,0.0001107804401877095,4.55,0.5354535706443552,19867.3,106.86487040330785,206678.5,902.6957507494154,226545.8,895.5054897125215,-25090.05,825.1698851400876,0.9995464218322241,0.0001410282953383394,0.9720574115896602,0.00013547727129370428,0.9857996057617866,8.815142413254009e-05,0.02748901024256391,0.00020949930177075057,189.75,1.0559979066964902,82509.05,293.20282610650645,44358.0,754.8121411457639,126867.05,769.8232622697101,472150.2,868.4072431756888,0.999630968314919,4.960749211646067e-05,0.9999750233149909,1.2279536296802915e-05,0.9998028518062831,2.8062183863886457e-05,-0.00034405500007183567,4.56496175113762e-05,8.95,0.8286799902952825,121188.35,298.5766962651837,251369.5,1386.9750263376093,372557.85,1443.8009763613911,633380.9,1370.3990292880728,0.9995925725222403,2.9058781985642284e-05,0.9943725174470212,3.0123757407663134e-05,0.9969832789409349,1.5974679551838845e-05,0.005220055075219115,5.010300646078769e-05,203.25,1.0409383418718652,136.15,1.730948933540882,500.5,3.4155218450017544,1083.5,7.815470487908478,2258.75,49.349338768033206,5.0,0.0,2.3250866794803615,0.06024760720105782,2.3250866794803615,0.06024760720105782,1.8443676395443966,0.04959493521779935,1.0828675389504452,0.02759986367265501,1.1037135197857582,0.0018183695012845057,1.0470151940626986,0.008231940330777041,1.0910727915906628,0.0010986168947714685,1.1994265179935915,0.0039737858589995075,0.0,0.0,851872.55,2136.667124869945,353412.85,1419.0755854558429
h1_recovery_writeoff,18812.0,90.16546193701757,333.0,39.69024803996171,19145.0,85.9612519807922,186320.75,218.06373856959135,0.9995283985715588,8.289174674308268e-05,0.9997496756326087,5.94165094544578e-05,0.9996386537173942,4.63057301468141e-05,-0.0002212770610500736,0.0001107804401877095,4.55,0.5354535706443552,6098.15,59.7032254704798,936541.5,2537.141810342786,942639.65,2555.1400036572336,-739341.15,2479.3533232372024,0.9806723360931761,0.0001826123360574373,0.9521156509650348,0.00040285305442706604,0.9663918544574953,0.0002461797415086181,0.028556685128141367,0.00037512217854052024,451.6,3.3406586176980135,140626.75,1082.4681322038273,123525.0,1746.1941322110843,264151.75,2657.6772643508402,328339.0,2624.083847144011,0.9998078723799502,2.6175745745701407e-05,0.9996707747657145,6.916464376797052e-05,0.9997392040037886,3.664088555338104e-05,0.00013709761423566502,7.464419899876788e-05,10.05,1.4206651518511357,165536.9,1103.1034376750554,1060399.5,3801.0877580946362,1225936.4,4697.5356884445855,-224681.4,4685.206535581184,0.9959447934886022,3.581683182390075e-05,0.9902233536470622,9.387836087090255e-05,0.9930847811612565,5.5411726398500976e-05,0.005721439841539966,9.022437620911281e-05,466.2,3.718800032834585,850.35,4.184731016948462,653.85,4.270631039282628,3053.9,8.617271518355016,31220.7,185.03649853332635,9.6,2.057591847409567,2.3250866794803615,0.06024760720105782,2.3250866794803615,0.06024760720105782,1.5183250946371212,0.003555249207865459,1.0427283480789258,0.0035863307730714987,1.1270128280164067,0.005014843611627943,1.149368435105243,0.006311543753615582,1.140763647071107,0.0016781256810540631,1.1885889734420871,0.002546182834032803,0.0,0.0,-1506.0,3981.5683216541697,1206791.4,4683.355152137474
h3_detect_reroute,18812.0,90.16546193701757,333.0,39.69024803996171,19145.0,85.9612519807922,186320.75,218.06373856959135,0.9995283985715588,8.289174674308268e-05,0.9997496756326087,5.94165094544578e-05,0.9996386537173942,4.63057301468141e-05,-0.0002212770610500736,0.0001107804401877095,4.55,0.5354535706443552,4580.85,63.96805432154564,1079333.5,2124.1438244248147,1083914.35,2141.775961642213,-881503.1,2001.0936640010818,0.9793769500046062,0.0002295522750533473,0.9544623003766107,0.0002545459360393156,0.9669173035909917,0.0001867362115676441,0.024914649627995583,0.0002985597712716208,444.55,2.7848036876856086,152898.2,430.20551147708835,180563.5,551.0498473010654,333461.7,922.8186857894182,260108.8,977.3045950874002,0.9997979769995593,2.7634834744023822e-05,0.9999575329130865,1.41692224004355e-05,0.9998777077277609,1.5875249866315985e-05,-0.00015955591352713184,3.039521806095985e-05,4.5,0.5735393346764044,176291.05,450.75605769931855,1260230.0,2375.797594604036,1436521.05,2670.8469231145564,-435073.55,2644.5648776261296,0.9956810935475244,4.303010422171469e-05,0.9908604521549351,5.0719380857704986e-05,0.9932714933008958,4.019611559858985e-05,0.004820641392589237,4.940308130253892e-05,453.6,2.6580562744032976,1421.85,1.9604980570199348,639.4,5.351536916477457,3226.85,5.777121392090294,41983.0,96.57238899286608,8.0,0.0,2.3250866794803615,0.06024760720105782,2.3250866794803615,0.06024760720105782,1.5244440391812113,0.00379810549094812,0.9733660586033492,0.006035794519483198,1.1887150456321307,0.00185058333165681,1.161783538925477,0.00224511251782857,1.1693255087643961,0.0009960290644628,1.184889775989978,0.0015761201873355243,0.0,0.0,-212090.65,2592.094044016598,1417376.05,2656.298835315785
h3b_upstream_reroute,18812.0,90.16546193701757,333.0,39.69024803996171,19145.0,85.9612519807922,186320.75,218.06373856959135,0.9995283985715588,8.289174674308268e-05,0.9997496756326087,5.94165094544578e-05,0.9996386537173942,4.63057301468141e-05,-0.0002212770610500736,0.0001107804401877095,4.55,0.5354535706443552,19867.3,106.86487040330785,206678.5,902.6957507494154,226545.8,895.5054897125215,-25090.05,825.1698851400876,0.9995464218322241,0.0001410282953383394,0.9720574115896602,0.00013547727129370428,0.9857996057617866,8.815142413254009e-05,0.02748901024256391,0.00020949930177075057,189.75,1.0559979066964902,82509.05,293.20282610650645,44358.0,754.8121411457639,126867.05,769.8232622697101,472150.2,868.4072431756888,0.999630968314919,4.960749211646067e-05,0.9999750233149909,1.2279536296802915e-05,0.9998028518062831,2.8062183863886457e-05,-0.00034405500007183567,4.56496175113762e-05,8.95,0.8286799902952825,121188.35,298.5766962651837,251369.5,1386.9750263376093,372557.85,1443.8009763613911,633380.9,1370.3990292880728,0.9995925725222403,2.9058781985642284e-05,0.9943725174470212,3.0123757407663134e-05,0.9969832789409349,1.5974679551838845e-05,0.005220055075219115,5.010300646078769e-05,203.25,1.0409383418718652,136.15,1.730948933540882,500.5,3.4155218450017544,1083.5,7.815470487908478,2258.75,49.349338768033206,5.0,0.0,2.3250866794803615,0.06024760720105782,2.3250866794803615,0.06024760720105782,1.8443676395443966,0.04959493521779935,1.0828675389504452,0.02759986367265501,1.1037135197857582,0.0018183695012845057,1.0470151940626986,0.008231940330777041,1.0910727915906628,0.0010986168947714685,1.1994265179935915,0.0039737858589995075,0.0,0.0,851872.55,2136.667124869945,353412.85,1419.0755854558429
h4_ceiling,19490.65,89.51698677375504,2313.0,60.24118192731613,21803.65,72.08132377281991,184556.6,209.91328284743983,0.9995283985715588,8.289174674308268e-05,0.9997496756326087,5.94165094544578e-05,0.9996386537173942,4.63057301468141e-05,-0.0002212770610500736,0.0001107804401877095,4.55,0.5354535706443552,29189.5,114.53890398600724,173792.5,1127.1386397235676,202982.0,1100.9522505062314,-1439.0,1002.4424986790488,0.9995464218322241,0.0001410282953383394,0.9721395884718715,0.00014373077241822086,0.9858406721945666,8.925177061411662e-05,0.027406833360352618,0.00021879358056284322,189.2,1.0750764966662658,72396.95,240.26869251998488,67939.0,983.0299294046256,140335.95,1155.8866213636047,456687.8,1150.434038457706,0.9995535653648883,6.112033544040944e-05,0.9998103607324612,3.18889258029692e-05,0.9996818121996404,2.8609171973045193e-05,-0.0002567953675728596,7.900394703365767e-05,13.7,1.1404062064849847,121077.1,222.14727097130807,244044.5,1447.2270172553044,365121.6,1613.2204247861998,639805.4,1549.2677818892398,0.9995466299851016,3.004171068265626e-05,0.994290979682307,3.2600391881879804e-05,0.9969195581862136,1.6035873693408492e-05,0.005255650302794563,5.405727263803853e-05,207.45,1.0525032816550917,156.4,3.3790375459355446,500.5,3.4155218450017544,1066.55,7.862795471814012,4000.55,88.99643620895579,1.0,0.0,6.023179176987578,0.1485733855799249,2.3250866794803615,0.06024760720105782,1.4664413253655137,0.015165916267945756,1.0956316851706724,0.027961553090101485,1.513260046022101,0.008891441205708055,1.154541048313089,0.010218788304813636,1.191868830389613,0.0010268814235525692,1.2443620380804128,0.0020494258558604894,2658.65,38.00452016052273,861967.45,2305.6964691310004,343317.95,1612.9050979929295
