pre_holding_cost,pre_backlog_cost,pre_system_cost,pre_profit_psc,pre_fill_hc1,pre_fill_hc2,pre_fill_agg,pre_fill_dispersion,pre_lost_u,during_holding_cost,during_backlog_cost,during_system_cost,during_profit_psc,during_fill_hc1,during_fill_hc2,during_fill_agg,during_fill_dispersion,during_lost_u,post_holding_cost,post_backlog_cost,post_system_cost,post_profit_psc,post_fill_hc1,post_fill_hc2,post_fill_agg,post_fill_dispersion,post_lost_u,episode_holding_cost,episode_backlog_cost,episode_system_cost,episode_profit_psc,episode_fill_hc1,episode_fill_hc2,episode_fill_agg,episode_fill_dispersion,episode_lost_u,peak_backlog_ds1,peak_backlog_ds2,peak_backlog_system,aub_ds1_during_post,ttr_ds1,rung,seed
17357.0,150.0,17507.0,158193.0,1.0,1.0,1.0,0.0,0,1584.0,2582500.0,2584084.0,-2445969.0,0.8970231914157147,0.7155425219941349,0.806133909287257,0.1814806694215798,0,108410.0,1027490.0,1135900.0,-583740.0,1.0344927536231885,1.096336974937197,1.065295195972881,-0.06184422131400846,0,127351.0,3610140.0,3737491.0,-2871516.0,1.0,1.0,1.0,0.0,0,4090.0,137.0,10651.0,131715.0,18,a,11
16239.0,690.0,16929.0,159111.0,1.0,1.0,1.0,0.0,0,1393.0,2585740.0,2587133.0,-2449953.0,0.8979307946444096,0.7148335366916507,0.8064937325905293,0.18309725795275889,0,105997.0,1022680.0,1128677.0,-576047.0,1.0341259229114586,1.0950499651405996,1.0645976811088833,-0.06092404222914105,0,123629.0,3609110.0,3732739.0,-2866889.0,1.0,1.0,1.0,0.0,0,4073.0,139.0,10610.0,132080.0,18,a,12
15856.0,440.0,16296.0,161414.0,1.0,1.0,1.0,0.0,0,1681.0,2538770.0,2540451.0,-2403216.0,0.8984798182771274,0.7203212290502793,0.8093616278054319,0.17815858922684813,0,104102.0,1002760.0,1106862.0,-557362.0,1.0339607201309329,1.0932588194201887,1.0636703027474772,-0.05929809928925578,0,121639.0,3541970.0,3663609.0,-2799164.0,1.0,1.0,1.0,0.0,0,4033.0,139.0,10479.0,129512.0,18,a,13
16002.0,570.0,16572.0,158828.0,1.0,1.0,1.0,0.0,0,1491.0,2542700.0,2544191.0,-2406336.0,0.8979238754325259,0.720174672489083,0.8094741416775315,0.17774920294344299,0,108580.0,1010780.0,1119360.0,-567650.0,1.034364261168385,1.09305837932036,1.0637505816658912,-0.058694118151975117,0,126073.0,3554050.0,3680123.0,-2815158.0,1.0,1.0,1.0,0.0,0,4042.0,126.0,10503.0,129646.0,18,a,14
16835.0,380.0,17215.0,158750.0,0.9994972347913524,1.0,0.9997494571571739,-0.0005027652086475598,0,1426.0,2623020.0,2624446.0,-2486546.0,0.8970128516846128,0.7177447250086475,0.8071923743500866,0.17926812667596526,0,107225.0,1030480.0,1137705.0,-584940.0,1.0348212199111941,1.0943570767807587,1.064744856445426,-0.05953585686956453,0,125486.0,3653880.0,3779366.0,-2912736.0,1.0,1.0,1.0,0.0,0,4101.0,158.0,10666.0,133484.0,18,a,15
16761.0,320.0,17081.0,157894.0,1.0,1.0,1.0,0.0,0,1357.0,2560460.0,2561817.0,-2424937.0,0.8971830985915493,0.7177000346380326,0.8067050811943426,0.17948306395351676,0,108383.0,1019020.0,1127403.0,-574868.0,1.0339673122782527,1.0946518785204111,1.0643342825594235,-0.060684566242158455,0,126501.0,3579800.0,3706301.0,-2841911.0,1.0,1.0,1.0,0.0,0,4063.0,125.0,10566.0,130771.0,18,a,16
16324.0,180.0,16504.0,158736.0,1.0,1.0,1.0,0.0,0,1407.0,2612420.0,2613827.0,-2475067.0,0.8986498034524013,0.7153068340306834,0.8078881505135065,0.1833429694217179,0,107729.0,1030360.0,1138089.0,-587814.0,1.0347535603352283,1.094908752760665,1.0649566663748578,-0.060155192425436654,0,125460.0,3642960.0,3768420.0,-2904145.0,1.0,1.0,1.0,0.0,0,4095.0,150.0,10650.0,132898.0,18,a,17
16349.0,1010.0,17359.0,158481.0,1.0,1.0,1.0,0.0,0,1263.0,2573200.0,2574463.0,-2437313.0,0.8945441868572425,0.7174669450243563,0.8059207662168045,0.1770772418328862,0,106499.0,1019490.0,1125989.0,-573824.0,1.0352646304499884,1.094254207777133,1.0648228930378643,-0.05898957732714449,0,124111.0,3593700.0,3717811.0,-2852656.0,1.0,1.0,1.0,0.0,0,4077.0,128.0,10604.0,131443.0,18,a,18
16506.0,320.0,16826.0,159039.0,1.0,1.0,1.0,0.0,0,1451.0,2579300.0,2580751.0,-2443061.0,0.9013617318435754,0.7183000867302689,0.8095362394501001,0.18306164511330647,0,106796.0,1014190.0,1120986.0,-571156.0,1.0328622113650905,1.095148816498711,1.0638918887364641,-0.06228660513362061,0,124753.0,3593810.0,3718563.0,-2855178.0,1.0,1.0,1.0,0.0,0,4060.0,137.0,10535.0,131319.0,18,a,19
16187.0,610.0,16797.0,160748.0,1.0,1.0,1.0,0.0,0,1603.0,2580150.0,2581753.0,-2443768.0,0.8987495658214658,0.717948717948718,0.8082393755420642,0.18080084787274786,0,106047.0,1026560.0,1132607.0,-581242.0,1.0340776245031564,1.0944534694824786,1.0643780573025856,-0.060375844979322135,0,123837.0,3607320.0,3731157.0,-2864262.0,1.0,1.0,1.0,0.0,0,4089.0,143.0,10631.0,131920.0,18,a,20
16917.0,770.0,17687.0,158628.0,1.0,1.0,1.0,0.0,0,1633.0,2562870.0,2564503.0,-2427953.0,0.9009866102889359,0.7183196792748824,0.8091649872951897,0.1826669310140535,0,103460.0,997760.0,1101220.0,-550980.0,1.0327677686432277,1.0941231288951017,1.0634615384615385,-0.061355360251873936,0,122010.0,3561400.0,3683410.0,-2820305.0,1.0,1.0,1.0,0.0,0,4026.0,131.0,10471.0,130428.0,18,a,21
16980.0,260.0,17240.0,160170.0,1.0,0.9996685998342999,0.9998343273691186,0.000331400165700102,0,1614.0,2562610.0,2564224.0,-2426864.0,0.8997199859992999,0.718495406482926,0.8086736915440216,0.18122457951637394,0,107058.0,1019210.0,1126268.0,-575468.0,1.0333643880284151,1.0948436770881942,1.064077160673699,-0.06147928905977906,0,125652.0,3582080.0,3707732.0,-2842162.0,1.0,1.0,1.0,0.0,0,4072.0,134.0,10579.0,131087.0,18,a,22
17168.0,170.0,17338.0,158017.0,1.0,1.0,1.0,0.0,0,1579.0,2579050.0,2580629.0,-2443414.0,0.8951668984700973,0.7147324530924253,0.8049183176920404,0.18043444537767206,0,106490.0,1021890.0,1128380.0,-577875.0,1.0350866984755034,1.0961076968100674,1.0655072802077559,-0.06102099833456398,0,125237.0,3601110.0,3726347.0,-2863272.0,1.0,1.0,1.0,0.0,0,4074.0,143.0,10617.0,131555.0,18,a,23
16911.0,220.0,17131.0,158049.0,1.0,1.0,1.0,0.0,0,1421.0,2597130.0,2598551.0,-2460226.0,0.8995282194653154,0.716852010265184,0.8072268326417704,0.1826762092001314,0,108133.0,1032780.0,1140913.0,-587448.0,1.033432176289319,1.0957422191368738,1.064665796723213,-0.0623100428475547,0,126465.0,3630130.0,3756595.0,-2889625.0,1.0,1.0,1.0,0.0,0,4109.0,149.0,10673.0,132443.0,18,a,24
16304.0,290.0,16594.0,159946.0,1.0,1.0,1.0,0.0,0,1587.0,2550500.0,2552087.0,-2415227.0,0.8978597529145641,0.7189646064447967,0.808944512515316,0.17889514646976745,0,108057.0,1007080.0,1115137.0,-562692.0,1.0339110340843443,1.0932297447280799,1.063405849719713,-0.05931871064373562,0,125948.0,3557870.0,3683818.0,-2817973.0,1.0,1.0,1.0,0.0,0,4036.0,122.0,10483.0,130160.0,18,a,25
16753.0,310.0,17063.0,158947.0,1.0,1.0,1.0,0.0,0,1660.0,2541380.0,2543040.0,-2406295.0,0.8973331009238278,0.716921454928835,0.807490374518726,0.18041164599499282,0,107821.0,1003590.0,1111411.0,-558991.0,1.034166715006671,1.0938264414676762,1.063936760731204,-0.05965972646100526,0,126234.0,3545280.0,3671514.0,-2806339.0,1.0,1.0,1.0,0.0,0,4035.0,142.0,10482.0,129356.0,18,a,26
16538.0,660.0,17198.0,158332.0,0.9988344988344988,1.0,0.9994141769185706,-0.0011655011655011815,0,1249.0,2549680.0,2550929.0,-2413884.0,0.9,0.7175052410901468,0.808720727018525,0.18249475890985323,0,107484.0,1010180.0,1117664.0,-565214.0,1.0334392145538551,1.0944785276073619,1.0637815858263142,-0.06103931305350674,0,125271.0,3560520.0,3685791.0,-2820766.0,1.0,1.0,1.0,0.0,0,4048.0,129.0,10515.0,130185.0,18,a,27
16943.0,110.0,17053.0,158402.0,1.0,1.0,1.0,0.0,0,1455.0,2572040.0,2573495.0,-2435755.0,0.8951304347826087,0.7158914058447172,0.8052544871239053,0.17923902893789145,0,107453.0,1020480.0,1127933.0,-576123.0,1.0351193942923704,1.0956344586728755,1.0653857350800582,-0.060515064380505024,0,125851.0,3592630.0,3718481.0,-2853476.0,1.0,1.0,1.0,0.0,0,4076.0,131.0,10609.0,131046.0,18,a,28
16583.0,590.0,17173.0,158447.0,1.0,1.0,1.0,0.0,0,1634.0,2582060.0,2583694.0,-2445669.0,0.8976567884217781,0.7161009573542211,0.8073426270672786,0.18155583106755702,0,107937.0,1026110.0,1134047.0,-582427.0,1.0345248474280733,1.0951686311121485,1.0647875840782692,-0.06064378368407519,0,126154.0,3608760.0,3734914.0,-2869649.0,1.0,1.0,1.0,0.0,0,4076.0,155.0,10617.0,131675.0,18,a,29
16634.0,690.0,17324.0,158421.0,1.0,1.0,1.0,0.0,0,1549.0,2604400.0,2605949.0,-2467459.0,0.8976648351648352,0.7191852367688022,0.8090421853388658,0.178479598396033,0,108479.0,1020630.0,1129109.0,-578579.0,1.034671320535195,1.0942999123063433,1.064411721825339,-0.05962859177114832,0,126662.0,3625720.0,3752382.0,-2887617.0,1.0,1.0,1.0,0.0,0,4068.0,153.0,10585.0,132345.0,18,a,30
17357.0,150.0,17507.0,158193.0,1.0,1.0,1.0,0.0,0,1327.0,2110630.0,2111957.0,-1957507.0,0.8959847698165455,0.8942556494738658,0.8951187904967602,0.0017291203426796908,0,110400.0,526440.0,636840.0,-101645.0,1.034840579710145,1.0358123502950283,1.035324584630605,-0.0009717705848832914,0,129084.0,2637220.0,2766304.0,-1900959.0,1.0,1.0,1.0,0.0,0,2895.0,200.0,7256.0,93891.0,13,b,11
