rung,pre_holding_cost_mean,pre_holding_cost_sem,pre_backlog_cost_mean,pre_backlog_cost_sem,pre_system_cost_mean,pre_system_cost_sem,pre_profit_psc_mean,pre_profit_psc_sem,pre_fill_hc1_mean,pre_fill_hc1_sem,pre_fill_hc2_mean,pre_fill_hc2_sem,pre_fill_agg_mean,pre_fill_agg_sem,pre_fill_dispersion_mean,pre_fill_dispersion_sem,pre_lost_u_mean,pre_lost_u_sem,during_holding_cost_mean,during_holding_cost_sem,during_backlog_cost_mean,during_backlog_cost_sem,during_system_cost_mean,during_system_cost_sem,during_profit_psc_mean,during_profit_psc_sem,during_fill_hc1_mean,during_fill_hc1_sem,during_fill_hc2_mean,during_fill_hc2_sem,during_fill_agg_mean,during_fill_agg_sem,during_fill_dispersion_mean,during_fill_dispersion_sem,during_lost_u_mean,during_lost_u_sem,post_holding_cost_mean,post_holding_cost_sem,post_backlog_cost_mean,post_backlog_cost_sem,post_system_cost_mean,post_system_cost_sem,post_profit_psc_mean,post_profit_psc_sem,post_fill_hc1_mean,post_fill_hc1_sem,post_fill_hc2_mean,post_fill_hc2_sem,post_fill_agg_mean,post_fill_agg_sem,post_fill_dispersion_mean,post_fill_dispersion_sem,post_lost_u_mean,post_lost_u_sem,episode_holding_cost_mean,episode_holding_cost_sem,episode_backlog_cost_mean,episode_backlog_cost_sem,episode_system_cost_mean,episode_system_cost_sem,episode_profit_psc_mean,episode_profit_psc_sem,episode_fill_hc1_mean,episode_fill_hc1_sem,episode_fill_hc2_mean,episode_fill_hc2_sem,episode_fill_agg_mean,episode_fill_agg_sem,episode_fill_dispersion_mean,episode_fill_dispersion_sem,episode_lost_u_mean,episode_lost_u_sem,peak_backlog_ds1_mean,peak_backlog_ds1_sem,peak_backlog_ds2_mean,peak_backlog_ds2_sem,peak_backlog_system_mean,peak_backlog_system_sem,aub_ds1_during_post_mean,aub_ds1_during_post_sem,ttr_ds1_mean,ttr_ds1_sem,n_did_not_recover
a,16607.35,87.52976260738544,437.0,55.28443199538756,17044.35,79.59463996103199,158927.65,210.37719602006146,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,1501.85,28.871336632504022,2573999.0,5275.243017599934,2575500.85,5268.310231581302,-2437945.6,5172.007926480681,0.8979952772225943,0.00040468752445649243,0.7174153877576395,0.0003673191493486808,0.8076862070691646,0.00032250695120309987,0.1805798894649548,0.0004381207534053907,0.0,0.0,107107.0,310.90035635062725,1018176.0,2240.1172901623277,1125283.0,2395.077557254287,-573722.0,2317.6952946725705,1.0341586887006924,0.00016048901518212722,1.0946466389231613,0.00020384156744484845,1.064393170963943,0.0001419172206356063,-0.06048795022246876,0.00023881202503214403,0.0,0.0,125216.2,335.233615322368,3592612.0,7200.4902464675215,3717828.2,7309.734541079619,-2852739.95,7228.569046162015,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4067.15,5.371109363015588,138.55,2.3546985503791973,10576.3,15.119193100162473,131253.4,253.78564722387696,18.0,0.0,0
b,16605.15,87.79756245867071,435.0,54.99999999999999,17040.15,80.6331287211926,158931.85,210.0152159274485,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,1249.15,27.64152815868486,2098378.5,4312.563975116624,2099627.65,4308.627191476597,-1945824.9,4186.901806385696,0.8964205241088952,0.00041878950452098985,0.8967279734118703,0.0004365823989646825,0.8965750347671614,0.00034648893434431475,-0.00030744930297521567,0.0005012462960116513,0.0,0.0,109128.05,374.5235322168828,521879.5,1073.485340522071,631007.55,1225.5512497067957,-96418.3,1253.0863436877928,1.034670477885902,0.00016887362645297044,1.0345871256052086,0.00015977520455257715,1.0346282421392714,0.00013093066557100263,8.33522806931386e-05,0.00019879603562187578,0.0,0.0,126982.35,413.7629201353691,2620693.0,5320.505323250489,2747675.35,5444.07082704371,-1883311.35,5407.184837775423,0.9999913569576491,8.64304235090949e-06,0.9999965283804896,3.4716195105026126e-06,0.9999939506311046,4.567892133046452e-06,-5.171422840405393e-06,9.482235046076879e-06,0.0,0.0,2876.85,3.80669424207298,198.95,2.6758913910773923,7197.15,11.03255350506423,93525.55,189.43184408285572,13.0,0.0,0
c,16606.7,86.87504941308703,438.5,55.20905246138726,17045.2,81.71582981347781,158926.3,212.15180885394415,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,5905.2,68.9026620828634,948342.5,2525.1660575932524,954247.7,2543.109283306973,-773922.7,2363.2781782716047,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,134593.05,290.4437120483447,120818.5,354.19833501347176,255411.55,450.9179729057971,252660.2,531.4805764634248,0.9999854431116806,1.4556888319550244e-05,1.0,0.0,0.9999927151931931,7.284806806924145e-06,-1.4556888319550154e-05,1.4556888319550154e-05,0.0,0.0,157104.95,293.141707020235,1069599.5,2563.5899453490542,1226704.45,2802.2555844167305,-362336.2,2747.307681693978,0.9999913569576491,8.64304235090949e-06,1.0,0.0,0.9999956801962918,4.319803708119648e-06,-8.643042350908737e-06,8.643042350908735e-06,0.0,0.0,1004.05,1.5951818903052697,571.7,3.1665189254547657,2896.35,11.071840763610039,33797.25,71.75968209018329,7.0,0.0,0
d,16605.15,87.79756245867071,435.0,54.99999999999999,17040.15,80.6331287211926,158931.85,210.0152159274485,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,22817.5,99.59984411317352,173687.0,1564.041845583692,196504.5,1545.0578161554859,-19576.75,1463.475412691526,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,72188.25,143.60827338357154,63473.0,501.3230390413793,135661.25,524.6952944077963,375299.0,539.8364615910604,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,111610.9,163.82061595088166,237595.0,1608.374874474886,349205.9,1599.6154914623446,514654.1,1588.6389522249278,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,168.05,1.512187331753506,528.1,4.107054265144553,1123.55,8.946176778231491,4125.7,40.42811033505225,38.85,0.15000000000000016,0
