rung,d_pre_holding_cost_mean,d_pre_holding_cost_sem,d_pre_backlog_cost_mean,d_pre_backlog_cost_sem,d_pre_system_cost_mean,d_pre_system_cost_sem,d_pre_profit_psc_mean,d_pre_profit_psc_sem,d_pre_fill_hc1_mean,d_pre_fill_hc1_sem,d_pre_fill_hc2_mean,d_pre_fill_hc2_sem,d_pre_fill_agg_mean,d_pre_fill_agg_sem,d_pre_fill_dispersion_mean,d_pre_fill_dispersion_sem,d_pre_lost_u_mean,d_pre_lost_u_sem,d_during_holding_cost_mean,d_during_holding_cost_sem,d_during_backlog_cost_mean,d_during_backlog_cost_sem,d_during_system_cost_mean,d_during_system_cost_sem,d_during_profit_psc_mean,d_during_profit_psc_sem,d_during_fill_hc1_mean,d_during_fill_hc1_sem,d_during_fill_hc2_mean,d_during_fill_hc2_sem,d_during_fill_agg_mean,d_during_fill_agg_sem,d_during_fill_dispersion_mean,d_during_fill_dispersion_sem,d_during_lost_u_mean,d_during_lost_u_sem,d_post_holding_cost_mean,d_post_holding_cost_sem,d_post_backlog_cost_mean,d_post_backlog_cost_sem,d_post_system_cost_mean,d_post_system_cost_sem,d_post_profit_psc_mean,d_post_profit_psc_sem,d_post_fill_hc1_mean,d_post_fill_hc1_sem,d_post_fill_hc2_mean,d_post_fill_hc2_sem,d_post_fill_agg_mean,d_post_fill_agg_sem,d_post_fill_dispersion_mean,d_post_fill_dispersion_sem,d_post_lost_u_mean,d_post_lost_u_sem,d_episode_holding_cost_mean,d_episode_holding_cost_sem,d_episode_backlog_cost_mean,d_episode_backlog_cost_sem,d_episode_system_cost_mean,d_episode_system_cost_sem,d_episode_profit_psc_mean,d_episode_profit_psc_sem,d_episode_fill_hc1_mean,d_episode_fill_hc1_sem,d_episode_fill_hc2_mean,d_episode_fill_hc2_sem,d_episode_fill_agg_mean,d_episode_fill_agg_sem,d_episode_fill_dispersion_mean,d_episode_fill_dispersion_sem,d_episode_lost_u_mean,d_episode_lost_u_sem,d_peak_backlog_ds1_mean,d_peak_backlog_ds1_sem,d_peak_backlog_ds2_mean,d_peak_backlog_ds2_sem,d_peak_backlog_system_mean,d_peak_backlog_system_sem,d_aub_ds1_during_post_mean,d_aub_ds1_during_post_sem,d_ttr_ds1_mean,d_ttr_ds1_sem
b,-2.2,2.8354893757515653,-2.0,1.3764944032233706,-4.2,2.7905856770672046,4.2,3.1116081474308253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.7,5.44885309033011,-475620.5,1348.021254517739,-475873.2,1348.7819097244742,492120.7,1375.414519527228,-0.0015747531136992622,0.0001935322233145496,0.17931258565423075,0.0002671455482065303,0.08888882769799675,0.00025044794389778805,-0.18088733876793,0.00023944612073445204,0.0,0.0,2021.05,356.5996537103139,-496296.5,1408.4435745288408,-494275.45,1570.1310932111437,477303.7,1497.5924821631481,0.0005117891852093436,6.799532956883791e-05,-0.06005951331795255,0.00013249260550454272,-0.0297649288246715,9.244050978905529e-05,0.060571302503161895,0.00012683286159564106,0.0,0.0,1766.15,357.4008679266697,-971919.0,2403.642947913153,-970152.85,2488.313801579612,969428.6,2459.6250820420832,-8.643042350908737e-06,8.643042350908737e-06,-3.471619510503343e-06,3.471619510503343e-06,-6.049368895433282e-06,4.567892133047364e-06,-5.171422840405393e-06,9.482235046076877e-06,0.0,0.0,-1190.3,2.616848244901126,60.4,1.2256040401197668,-3379.15,7.107547878284413,-37727.85,91.85363858363276,-5.0,0.0
c,-0.65,8.611887439066878,1.5,2.4360235069300518,0.85,8.293394644947394,-1.35,8.375174782151054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4403.35,66.30798455532691,-1625656.5,3450.59096959835,-1621253.15,3421.7159017039517,1664022.9,3498.622986938839,0.10209196230064724,0.00039725133824377294,0.2826019462690549,0.000365038609811184,0.1923660834353685,0.0003186676810457817,-0.18050998396840762,0.000434861174511737,0.0,0.0,27486.05,281.493642772004,-897357.5,2138.224530945439,-869871.45,2138.910141163879,826382.2,2054.011457201685,-0.034173245589012025,0.00015732614807344148,-0.09464663892316123,0.00020384156744484555,-0.0644004557707498,0.00014124886673284973,0.06047339333414921,0.00023605942853101574,0.0,0.0,31888.75,297.90374527247627,-2523012.5,5272.3519606877935,-2491123.75,5225.912001431953,2490403.75,5210.25702562036,-8.643042350908737e-06,8.643042350908737e-06,0.0,0.0,-4.319803708119352e-06,4.319803708119351e-06,-8.643042350908737e-06,8.643042350908737e-06,0.0,0.0,-3063.1,4.698207945029343,433.15,1.8669916697020479,-7679.95,13.484586717707309,-97456.15,210.2915304123252,-11.0,0.0
d,-2.2,2.8354893757515653,-2.0,1.3764944032233706,-4.2,2.7905856770672046,4.2,3.1116081474308253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21315.65,90.12284817491009,-2400312.0,3963.721377429894,-2378996.35,3996.6131979563584,2418368.85,4043.2267860648913,0.10209196230064724,0.00039725133824377294,0.2826019462690549,0.000365038609811184,0.1923660834353685,0.0003186676810457817,-0.18050998396840762,0.000434861174511737,0.0,0.0,-34918.75,263.67070646427226,-954703.0,2417.452563078921,-989621.75,2524.699826738137,949021.0,2466.7821666889713,-0.034173245589012025,0.00015732614807344148,-0.0946582970930219,0.00020386943857065255,-0.06440628973693499,0.00014192135821336895,0.06048505150400988,0.00023467824537254796,0.0,0.0,-13605.3,302.071193246681,-3355017.0,6101.2905494183,-3368622.3,6214.013098210917,3367394.05,6207.245265975373,-8.643042350908737e-06,8.643042350908737e-06,-6.930032099122796e-06,4.769584822942952e-06,-7.779891859471811e-06,4.770575787344848e-06,-1.7130102517859402e-06,1.0186069978796624e-05,0.0,0.0,-3899.1,6.139561102091564,389.55,4.649547233192088,-9452.75,13.949132212208907,-127127.7,264.4193350283638,20.85,0.14999999999999997
