rule,pre_holding_cost_mean,pre_holding_cost_sem,pre_backlog_cost_mean,pre_backlog_cost_sem,pre_system_cost_mean,pre_system_cost_sem,pre_profit_psc_mean,pre_profit_psc_sem,pre_fill_hc1_mean,pre_fill_hc1_sem,pre_fill_hc2_mean,pre_fill_hc2_sem,pre_fill_agg_mean,pre_fill_agg_sem,pre_fill_dispersion_mean,pre_fill_dispersion_sem,pre_lost_u_mean,pre_lost_u_sem,during_holding_cost_mean,during_holding_cost_sem,during_backlog_cost_mean,during_backlog_cost_sem,during_system_cost_mean,during_system_cost_sem,during_profit_psc_mean,during_profit_psc_sem,during_fill_hc1_mean,during_fill_hc1_sem,during_fill_hc2_mean,during_fill_hc2_sem,during_fill_agg_mean,during_fill_agg_sem,during_fill_dispersion_mean,during_fill_dispersion_sem,during_lost_u_mean,during_lost_u_sem,post_holding_cost_mean,post_holding_cost_sem,post_backlog_cost_mean,post_backlog_cost_sem,post_system_cost_mean,post_system_cost_sem,post_profit_psc_mean,post_profit_psc_sem,post_fill_hc1_mean,post_fill_hc1_sem,post_fill_hc2_mean,post_fill_hc2_sem,post_fill_agg_mean,post_fill_agg_sem,post_fill_dispersion_mean,post_fill_dispersion_sem,post_lost_u_mean,post_lost_u_sem,episode_holding_cost_mean,episode_holding_cost_sem,episode_backlog_cost_mean,episode_backlog_cost_sem,episode_system_cost_mean,episode_system_cost_sem,episode_profit_psc_mean,episode_profit_psc_sem,episode_fill_hc1_mean,episode_fill_hc1_sem,episode_fill_hc2_mean,episode_fill_hc2_sem,episode_fill_agg_mean,episode_fill_agg_sem,episode_fill_dispersion_mean,episode_fill_dispersion_sem,episode_lost_u_mean,episode_lost_u_sem,peak_backlog_ds1_mean,peak_backlog_ds1_sem,peak_backlog_ds2_mean,peak_backlog_ds2_sem,peak_backlog_system_mean,peak_backlog_system_sem,aub_ds1_during_post_mean,aub_ds1_during_post_sem,ttr_ds1_mean,ttr_ds1_sem
backlog_priority,20239.4,103.65589327446031,276.5,42.95821102812409,20515.9,115.02102553789659,185004.6,245.30604300922167,0.9996568730846859,8.183650057830334e-05,0.9997282184126141,6.462952076629556e-05,0.9996923089132892,5.246281537023023e-05,-7.134532792827387e-05,0.00010382884018555634,3.85,0.6294316567557718,7668.7,250.29223025558696,1477954.0,8391.133585047091,1485622.7,8343.436368314035,-1287224.95,8371.67326149539,0.9516878388900256,0.004411749151677683,0.9290551847557408,0.004375075930910974,0.9403481575600994,0.00118872403062946,0.02263265413428467,0.008456388184245376,788.55,10.492472238905878,171701.95,1663.8441340762658,279192.0,4049.570841459623,450893.95,5421.981007885254,142492.3,5244.823054112249,0.9999825621028432,1.5467822703077778e-05,1.0004821779492648,0.0003295432750385987,1.0002319250217002,0.00016534253912280393,-0.0004996158464215916,0.00032856194726359666,2.85,1.2529439017979342,199610.05,1552.72410108137,1757422.5,11496.931647297533,1957032.55,12367.870124785122,-959728.05,12330.87223885322,0.9903061240685375,0.0008781738782297441,0.9861085816654003,0.0008213114574080838,0.9882093258244975,0.00016855978443239668,0.004197542403137089,0.0016667708021080516,795.25,11.384170681488536,2142.65,17.61462834064198,548.85,8.562241160129194,4808.25,47.70191847626036,64519.5,596.7991793948078,10.05,0.049999999999999996
equal,19966.7,97.27946989554323,269.5,42.19924544099662,20236.2,102.06320539125186,185241.05,226.5314138201778,0.9996497363447487,8.696350700005406e-05,0.9997424730975094,6.436950305962357e-05,0.9996958446720876,5.3427319165369727e-05,-9.2736752760747e-05,0.0001097497561792202,3.75,0.5932737009260788,6528.25,68.57074237986866,1027071.0,1952.5059336792383,1033599.25,1961.2843199170857,-830898.0,1822.3035350029418,0.9630937898199177,0.00023916064114416728,0.9622793684613642,0.0003140323339342836,0.9626842613602979,0.0001499736451412249,0.0008144213585534688,0.0004712253816618219,501.35,2.2829747445406663,155156.3,281.47830710095775,153432.0,1304.8068217576363,308588.3,1471.6027873323064,284050.95,1455.770635988123,0.9999150971060118,2.9009285096291345e-05,0.999897631425166,3.369949667557631e-05,0.9999063729365985,2.142671698151065e-05,1.7465680845729638e-05,4.6011609512815535e-05,3.45,0.7590679880790098,181651.25,279.84248271407745,1180772.5,2658.693077731797,1362423.75,2863.4026684082287,-361606.0,2822.5779258274565,0.992538711008276,5.231098698054095e-05,0.9923786467666851,6.115439498246865e-05,0.9924585816020468,2.9437415541059654e-05,0.00016006424159083487,9.740559407356595e-05,508.55,1.9701389210969504,1098.1,1.904150591125655,589.4,3.2244134513525333,3024.5,10.328422715471797,38044.6,142.85243398254323,8.95,1.7939591616545263
prio_hc1,18812.0,90.16546193701757,333.0,39.69024803996171,19145.0,85.9612519807922,186320.75,218.06373856959135,0.9995283985715588,8.289174674308268e-05,0.9997496756326087,5.94165094544578e-05,0.9996386537173942,4.63057301468141e-05,-0.0002212770610500736,0.0001107804401877095,4.55,0.5354535706443552,6830.3,78.83677675058166,922334.0,1860.1430901383524,929164.3,1880.9313637831522,-725313.05,1742.1095733787508,0.9806723360931761,0.0001826123360574373,0.9573377233737151,0.00016439413361194608,0.9690027621814709,0.00015391103156523703,0.023334612719460922,0.00014812118863443847,416.55,2.180626418932726,141728.1,763.6039166864903,134393.0,2023.3216696678187,276121.1,1965.028368484123,316211.65,1961.9015618245162,0.9998128764730186,2.681398573617696e-05,0.9989569342893159,0.000145687752362684,0.999384937875929,7.765503090128864e-05,0.0008559421837028402,0.0001406701996262743,24.25,3.1253420865394452,167370.4,745.022526681682,1057060.0,2678.9240770365823,1224430.4,2514.9027787005607,-222780.65,2553.8759421246677,0.9959477768357747,3.6501819384773785e-05,0.9908386167151664,9.679135233812999e-05,0.9933937833749107,5.32892810379124e-05,0.005109160120608502,0.00010134153347976329,445.35,3.591858483907885,837.15,1.4496369781504108,653.85,4.270631039282628,3053.9,8.617271518355016,31772.8,161.19515142244595,7.0,0.0
prio_hc2,18827.8,94.05747403078956,318.5,41.73396319798213,19146.3,92.67416320806868,186318.45,222.2749065435579,0.9996425545004509,8.381015970464943e-05,0.9996205781022907,6.988408478027773e-05,0.9996314572182955,5.22654361459011e-05,2.1976398160394874e-05,0.00011371772435883794,4.65,0.6081680861839361,6770.2,73.15652289512717,922085.0,1850.3749975556161,928855.2,1861.6994734579687,-725043.95,1732.7423935773027,0.9576441163383075,0.00020097217110942334,0.9802679332264393,0.00016643980187654915,0.9689577890280932,0.00014500838887347272,-0.022623816888131847,0.00022616051945699032,417.15,2.0904230244265465,141252.65,828.0600450990692,135213.0,1771.060505965131,276465.65,1860.1529991897814,315718.1,1876.349577321827,0.9988102296317803,0.00012715881651584356,0.9997079005606766,3.580436562394286e-05,0.9992590054869478,6.037716466444813e-05,-0.000897670928896327,0.00014257973396099286,29.3,2.490085604108717,166850.65,806.3184047685016,1057616.5,2744.9675748252616,1224467.15,2848.867949938042,-223007.4,2855.3435818700195,0.9907978145323734,8.720755431449878e-05,0.9958208053108952,3.288253724502418e-05,0.9933085538497523,4.615252608272037e-05,-0.005022990778521896,9.412487825872144e-05,451.1,3.168845049441268,836.7,1.351607230397631,655.2,4.613823622664031,3054.8,9.83377638014699,31774.15,168.1886202264714,7.0,0.0
proportional,19918.65,102.49118768280316,274.5,42.41074218439921,20193.15,102.34856014208451,185285.6,225.57477929199322,0.9996426781855166,8.574517962956807e-05,0.9997209800727992,5.998380422101211e-05,0.9996815775109,5.1275991420133983e-05,-7.830188728266685e-05,0.00010689763633923423,3.9,0.5753717333854239,6548.75,68.01976783104654,1027522.5,1827.9836281369808,1034071.25,1843.2105155421746,-831377.5,1697.993074655772,0.9627337989759905,0.0001497039254287626,0.9625299418040129,0.00018848999250573384,0.9626319779950656,0.0001424392251494262,0.00020385717197768383,0.00018604966531336514,502.1,2.1991625200229477,154635.5,309.39793402501476,150380.5,592.3185820414373,305016.0,714.3799225091714,287610.25,771.6262896772332,0.9999026173933047,2.9977203761666747e-05,0.9998702168582326,3.1452396301590966e-05,0.9998864169223152,1.9972018430309055e-05,3.2400535071896995e-05,4.669944321031015e-05,4.15,0.7264730950935051,181102.9,293.0408441084434,1178177.5,2150.486588144524,1359280.4,2285.740465536167,-358481.65,2278.3049531048546,0.992458515121949,3.2279213086965194e-05,0.992408149133453,3.854890441346172e-05,0.9924333725682019,2.9507222728050735e-05,5.0365988496070543e-05,3.9652575563729814e-05,510.15,1.9389022938929015,1097.65,1.619413474070165,592.3,3.033236936968408,3026.8,10.343469844353635,37857.1,100.68765930759406,7.05,0.05
serve_captive,19326.55,87.72788295273297,314.5,40.154143785640535,19641.05,79.05502663867786,185836.95,215.50553143468775,0.9995999607105668,8.57851748622332e-05,0.9996993634116202,6.801602499775946e-05,0.9996494020525374,5.086440746067543e-05,-9.940270105343596e-05,0.00011686763195334866,4.4,0.5776540578290054,9066.15,311.11623547106024,1199176.5,23081.619268142214,1208242.65,23323.351265390993,-1006643.9,23139.709183440707,0.9586836277074701,0.005541430514229157,0.9535810144919425,0.0055969341435339985,0.9561125413874991,0.00023692715263575116,0.0051026132155273796,0.011128100383927659,589.55,3.4438923817160907,163933.1,1336.4008989190252,170209.5,5332.241035486516,334142.6,6464.968509468631,259177.9,6732.558265192401,0.9997804240023254,0.00010492790445245266,0.9997852603403141,7.015493897661614e-05,0.9997829875016739,5.997588993806276e-05,-4.836337988750605e-06,0.00013207543828413855,8.6,2.4142123047966555,192325.8,1509.9372984541976,1369700.5,28280.329070844684,1562026.3,29559.081239914995,-561629.05,29667.53088394564,0.9915684108195375,0.0010920710078712926,0.9905724131684529,0.0011286713122387593,0.9910684117880242,6.407835116094733e-05,0.000995997651084557,0.0022173439918877122,602.55,4.308788448593969,1239.2,41.68166326613633,493.15,7.394263423691868,3386.75,72.38554940841365,44994.55,1229.9351533505203,7.95,0.11413288653790227
