rung,d_pre_holding_cost_mean,d_pre_holding_cost_sem,d_pre_backlog_cost_mean,d_pre_backlog_cost_sem,d_pre_system_cost_mean,d_pre_system_cost_sem,d_pre_profit_psc_mean,d_pre_profit_psc_sem,d_pre_fill_hc1_mean,d_pre_fill_hc1_sem,d_pre_fill_hc2_mean,d_pre_fill_hc2_sem,d_pre_fill_agg_mean,d_pre_fill_agg_sem,d_pre_fill_dispersion_mean,d_pre_fill_dispersion_sem,d_pre_lost_u_mean,d_pre_lost_u_sem,d_during_holding_cost_mean,d_during_holding_cost_sem,d_during_backlog_cost_mean,d_during_backlog_cost_sem,d_during_system_cost_mean,d_during_system_cost_sem,d_during_profit_psc_mean,d_during_profit_psc_sem,d_during_fill_hc1_mean,d_during_fill_hc1_sem,d_during_fill_hc2_mean,d_during_fill_hc2_sem,d_during_fill_agg_mean,d_during_fill_agg_sem,d_during_fill_dispersion_mean,d_during_fill_dispersion_sem,d_during_lost_u_mean,d_during_lost_u_sem,d_post_holding_cost_mean,d_post_holding_cost_sem,d_post_backlog_cost_mean,d_post_backlog_cost_sem,d_post_system_cost_mean,d_post_system_cost_sem,d_post_profit_psc_mean,d_post_profit_psc_sem,d_post_fill_hc1_mean,d_post_fill_hc1_sem,d_post_fill_hc2_mean,d_post_fill_hc2_sem,d_post_fill_agg_mean,d_post_fill_agg_sem,d_post_fill_dispersion_mean,d_post_fill_dispersion_sem,d_post_lost_u_mean,d_post_lost_u_sem,d_episode_holding_cost_mean,d_episode_holding_cost_sem,d_episode_backlog_cost_mean,d_episode_backlog_cost_sem,d_episode_system_cost_mean,d_episode_system_cost_sem,d_episode_profit_psc_mean,d_episode_profit_psc_sem,d_episode_fill_hc1_mean,d_episode_fill_hc1_sem,d_episode_fill_hc2_mean,d_episode_fill_hc2_sem,d_episode_fill_agg_mean,d_episode_fill_agg_sem,d_episode_fill_dispersion_mean,d_episode_fill_dispersion_sem,d_episode_lost_u_mean,d_episode_lost_u_sem,d_peak_backlog_ds1_mean,d_peak_backlog_ds1_sem,d_peak_backlog_ds2_mean,d_peak_backlog_ds2_sem,d_peak_backlog_system_mean,d_peak_backlog_system_sem,d_aub_ds1_during_post_mean,d_aub_ds1_during_post_sem,d_ttr_ds1_mean,d_ttr_ds1_sem
b,0.45,3.5559253736767165,-0.5,1.8460484112942719,-0.05,2.924015803830861,0.05,3.190838035441638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-562.2,12.541216259325005,-506490.5,1006.3899722849932,-507052.7,1007.8870527259646,524741.2,1022.0227817009704,-0.0036152335731739595,0.00013552490081085303,0.16975828691676215,0.00018142782138158168,0.08308777092891258,0.0001549708014367165,-0.1733735204899361,0.00022266384538598,-43.5,0.8870412083230169,1389.95,448.56015541543127,-537015.0,1199.3146068967014,-535625.05,1248.5672957328666,519496.55,1182.9755891840132,0.0016411442959598844,4.7359741719184754e-05,-0.04866079951831559,9.028232502996029e-05,-0.023503479145090912,5.548097792395826e-05,0.050301943814275475,0.00010410673664329696,-130.05,1.5052102493461976,828.2,445.7980165713474,-1043506.0,1658.1037679419094,-1042677.8,1627.1114858449068,1044237.8,1606.8327781203943,0.00025629009232621124,3.154309029966207e-05,0.00487746459246235,3.2137306774222074e-05,0.00256617394233572,2.570376355997949e-05,-0.004621174500136138,3.716669643634088e-05,-173.55,1.7098399432633882,-1243.0,2.1944907094094086,60.25,3.2774147385433308,-3528.15,5.69731007627838,-40730.95,76.4866508820846,-5.0,0.0
c,1.0,5.079370039680118,-1.0,1.7621756887140216,0.0,4.467425963218876,-2.25,4.882231478589101,-7.0581592320706484e-06,7.05815923207065e-06,0.0,0.0,-3.551136363633134e-06,3.551136363633134e-06,-7.0581592320706484e-06,7.05815923207065e-06,0.0,0.07254762501100116,4466.7,63.68772913289705,-1661934.5,3005.581165887363,-1657467.8,2979.96301160372,1713555.55,3033.1163689781433,0.1338538104959736,0.0003749523303525136,0.30710662883179585,0.00032893277647014717,0.22049560645652164,0.0002929992699282098,-0.17325281833582223,0.0003986153095413553,-834.5,2.0894471693929497,37714.6,334.12148279204956,-949811.5,1935.9797295317671,-912096.9,1885.339110778636,873880.15,1821.8387621113948,-0.017381460078737247,0.00012302630349607724,-0.06757364662592195,0.00016650933962027517,-0.042470933274947206,0.00011284059349855565,0.0501921865471847,0.00019010566808390543,-423.0,1.1073914346217801,42182.3,326.4335033437333,-2611747.0,4587.683459690281,-2569564.7,4568.992788984184,2587433.45,4545.888431188758,0.01628736326439076,4.2194921991027114e-05,0.020976032959825447,4.581628030155693e-05,0.01863093035047454,3.065311265800119e-05,-0.0046886696954346885,6.264607993910648e-05,-1257.5,1.9953894224858517,-3201.9,4.613424347545575,487.95,2.6020993548732103,-7937.35,11.324002221643612,-104953.95,188.65831652682803,-11.95,0.049999999999999996
d,0.45,3.5559253736767165,-0.5,1.8460484112942719,-0.05,2.924015803830861,0.05,3.190838035441638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20647.55,131.22238005125416,-2485795.0,3459.709335220305,-2465147.45,3443.2018410615246,2520704.2,3478.1912273025205,0.15416878532407424,0.0004287807590975939,0.32792151787867796,0.00036493948634387646,0.24105980527795223,0.0002688832093836727,-0.17375273255460374,0.0005937199502612413,-1110.55,1.5260458018924872,-27661.55,332.5547163131284,-968392.0,2304.922832365087,-996053.55,2288.4844668757487,962008.8,2247.5493304111433,-0.017413896910320286,0.0001255122462246465,-0.06763102255368836,0.0001656553458187003,-0.042515845681589455,0.00011722325055054435,0.05021712564336804,0.000180793325869628,-421.2,1.2409673645990855,-7013.55,377.7651559187477,-3454187.5,5581.257586780957,-3461201.05,5548.593881845912,3482713.05,5549.2529584834065,0.020308495328767617,4.719959311416866e-05,0.025084193960464286,5.017525216800838e-05,0.022695459151737134,2.592263828309265e-05,-0.004775698631696667,8.206724188488934e-05,-1531.75,1.746989892417963,-3933.55,6.394683235642757,435.9,2.714386622580156,-9855.4,14.743669471121638,-132819.95,251.11413294189137,25.9,0.06882472016116851
