pre_holding_cost,pre_backlog_cost,pre_system_cost,pre_profit_psc,pre_fill_hc1,pre_fill_hc2,pre_fill_agg,pre_fill_dispersion,pre_lost_u,during_holding_cost,during_backlog_cost,during_system_cost,during_profit_psc,during_fill_hc1,during_fill_hc2,during_fill_agg,during_fill_dispersion,during_lost_u,post_holding_cost,post_backlog_cost,post_system_cost,post_profit_psc,post_fill_hc1,post_fill_hc2,post_fill_agg,post_fill_dispersion,post_lost_u,episode_holding_cost,episode_backlog_cost,episode_system_cost,episode_profit_psc,episode_fill_hc1,episode_fill_hc2,episode_fill_agg,episode_fill_dispersion,episode_lost_u,peak_backlog_ds1,peak_backlog_ds2,peak_backlog_system,aub_ds1_during_post,ttr_ds1,rung,seed
20573.0,120.0,20693.0,184562.0,1.0,0.999856918014022,0.9999283051333524,0.0001430819859780108,1.0,2128.0,2687870.0,2689998.0,-2542683.0,0.8296230335411101,0.6544324404321444,0.7419044090403853,0.17519059310896568,1333.0,117487.0,1105930.0,1223417.0,-592172.0,1.0175534559920438,1.06857886569555,1.0429815152044304,-0.05102540970350611,427.0,140188.0,3793920.0,3934108.0,-2950293.0,0.9764841600851895,0.9713548616671115,0.9739227010217681,0.0051292984180779655,1761.0,4317.0,91.0,11021.0,142905.0,19,a,11
19194.0,380.0,19574.0,185906.0,0.9992872416250891,0.9998561771897023,0.9995704467353952,-0.0005689355646132377,6.0,1967.0,2692860.0,2694827.0,-2548547.0,0.8289375651914767,0.6531282663879349,0.7411247016706444,0.1758092988035418,1342.0,115756.0,1102140.0,1217896.0,-586051.0,1.0171975474801855,1.0677560781187725,1.0424837415593153,-0.05055853063858695,424.0,136917.0,3795380.0,3932297.0,-2948692.0,0.9760854766626217,0.9714133206808612,0.9737516479284244,0.004672155981760517,1772.0,4297.0,115.0,10976.0,143182.0,19,a,12
19196.0,90.0,19286.0,187969.0,1.0,0.9998570611778159,0.9999289772727272,0.00014293882218407994,1.0,2391.0,2659910.0,2662301.0,-2515881.0,0.8301660930719736,0.6580442583732058,0.7440729937925361,0.17212183469876785,1326.0,114489.0,1086010.0,1200499.0,-571454.0,1.0171274038461537,1.0663239844295838,1.0417687346897966,-0.049196580583430016,425.0,136076.0,3746010.0,3882086.0,-2899366.0,0.9764932562620424,0.9715615918391555,0.9740278992543397,0.00493166442288695,1752.0,4266.0,85.0,10873.0,141169.0,19,a,13
19170.0,370.0,19540.0,185320.0,0.9992799539170507,0.9998568155784651,0.9995692130959218,-0.0005768616614143518,6.0,2006.0,2678300.0,2680306.0,-2533556.0,0.8281899109792284,0.6568436798803291,0.7428677839851024,0.17134623109889935,1332.0,118070.0,1101030.0,1219100.0,-587785.0,1.0179739377902042,1.0665504358655045,1.04229004588071,-0.04857649807530029,424.0,139246.0,3779700.0,3918946.0,-2936021.0,0.9761812950493874,0.9715801327643433,0.9738796566701751,0.004601162285044147,1762.0,4291.0,103.0,10941.0,142215.0,19,a,14
20221.0,320.0,20541.0,184959.0,0.9994258647911584,0.9994291422862851,0.9994275082295692,-3.2774951267411367e-06,6.0,2044.0,2723290.0,2725334.0,-2578319.0,0.8280738314974695,0.6567784040344111,0.7422734026745914,0.17129542746305837,1342.0,116595.0,1107250.0,1223845.0,-592190.0,1.0171706047256708,1.0669775749156578,1.0421857869032194,-0.04980697018998703,436.0,138860.0,3830860.0,3969720.0,-2985550.0,0.9757582959508037,0.9714496386963575,0.9735961874315484,0.00430865725444618,1784.0,4322.0,117.0,11018.0,144304.0,19,a,15
20322.0,220.0,20542.0,183968.0,1.0,0.9995683453237411,0.999784436300927,0.00043165467625894127,3.0,1945.0,2680570.0,2682515.0,-2536625.0,0.8275602409638554,0.6554796554796555,0.7409152086137282,0.1720805854841999,1337.0,118341.0,1102150.0,1220491.0,-588676.0,1.0170049369171694,1.0673273243364374,1.042183684656401,-0.05032238741926798,435.0,140608.0,3782940.0,3923548.0,-2941333.0,0.9761140819964349,0.9712424107803939,0.9736744530960326,0.00487167121604104,1775.0,4298.0,104.0,10963.0,142527.0,19,a,16
19980.0,110.0,20090.0,184710.0,0.9997125197642662,1.0,0.9998564249820531,-0.00028748023573377246,2.0,2052.0,2711780.0,2713832.0,-2566027.0,0.8299809132286008,0.6541218637992832,0.742800029614274,0.17585904942931763,1346.0,118138.0,1106990.0,1225128.0,-595673.0,1.0175174421522863,1.0674773248280673,1.04258671134562,-0.049959882675781,425.0,140170.0,3818880.0,3959050.0,-2976990.0,0.9759282894541569,0.9714836223506744,0.9737045056803013,0.004444667103482458,1773.0,4317.0,112.0,11003.0,143758.0,19,a,17
19807.0,780.0,20587.0,184673.0,0.9995698308001147,0.9990005711022273,0.9992845900701102,0.0005692596978874587,10.0,1845.0,2683470.0,2685315.0,-2539125.0,0.8257428699417649,0.6556350626118068,0.7406191719507647,0.17010780732995812,1340.0,116301.0,1100530.0,1216831.0,-585381.0,1.018185451638689,1.0670980587356893,1.042686879768613,-0.048912607097000294,425.0,137953.0,3784780.0,3922733.0,-2939833.0,0.9760738563837682,0.9713330572155494,0.9736994176828817,0.00474079916821879,1775.0,4307.0,102.0,10986.0,142813.0,19,a,18
19996.0,260.0,20256.0,185134.0,0.9995700157660886,1.0,0.9997851464584975,-0.00042998423391138463,3.0,2054.0,2690880.0,2692934.0,-2546294.0,0.8308911483253588,0.6562081784386617,0.743308730336241,0.17468296988669707,1341.0,116938.0,1096540.0,1213478.0,-584373.0,1.0165062584151998,1.067442794058611,1.0418949000775368,-0.050936535643411274,427.0,138988.0,3787680.0,3926668.0,-2945533.0,0.9761848270953201,0.9712238770474747,0.9737072613091439,0.004960950047845358,1771.0,4294.0,105.0,10928.0,142759.0,19,a,19
19571.0,370.0,19941.0,187119.0,0.9994335080016995,0.9998575498575498,0.9996449115829842,-0.00042404185585032117,5.0,2189.0,2701480.0,2703669.0,-2556749.0,0.8291158082762727,0.6555258467023173,0.7422304832713754,0.17358996157395545,1339.0,114834.0,1111270.0,1226104.0,-595514.0,1.0173778044871795,1.0674761146496816,1.0425069888178913,-0.0500983101625021,425.0,136594.0,3813120.0,3949714.0,-2965144.0,0.9761460277950633,0.9715197352871662,0.9738294252533471,0.004626292507897145,1769.0,4326.0,105.0,11032.0,143866.0,19,a,20
