rung,pre_holding_cost_mean,pre_holding_cost_sem,pre_backlog_cost_mean,pre_backlog_cost_sem,pre_system_cost_mean,pre_system_cost_sem,pre_profit_psc_mean,pre_profit_psc_sem,pre_fill_hc1_mean,pre_fill_hc1_sem,pre_fill_hc2_mean,pre_fill_hc2_sem,pre_fill_agg_mean,pre_fill_agg_sem,pre_fill_dispersion_mean,pre_fill_dispersion_sem,pre_lost_u_mean,pre_lost_u_sem,during_holding_cost_mean,during_holding_cost_sem,during_backlog_cost_mean,during_backlog_cost_sem,during_system_cost_mean,during_system_cost_sem,during_profit_psc_mean,during_profit_psc_sem,during_fill_hc1_mean,during_fill_hc1_sem,during_fill_hc2_mean,during_fill_hc2_sem,during_fill_agg_mean,during_fill_agg_sem,during_fill_dispersion_mean,during_fill_dispersion_sem,during_lost_u_mean,during_lost_u_sem,post_holding_cost_mean,post_holding_cost_sem,post_backlog_cost_mean,post_backlog_cost_sem,post_system_cost_mean,post_system_cost_sem,post_profit_psc_mean,post_profit_psc_sem,post_fill_hc1_mean,post_fill_hc1_sem,post_fill_hc2_mean,post_fill_hc2_sem,post_fill_agg_mean,post_fill_agg_sem,post_fill_dispersion_mean,post_fill_dispersion_sem,post_lost_u_mean,post_lost_u_sem,episode_holding_cost_mean,episode_holding_cost_sem,episode_backlog_cost_mean,episode_backlog_cost_sem,episode_system_cost_mean,episode_system_cost_sem,episode_profit_psc_mean,episode_profit_psc_sem,episode_fill_hc1_mean,episode_fill_hc1_sem,episode_fill_hc2_mean,episode_fill_hc2_sem,episode_fill_agg_mean,episode_fill_agg_sem,episode_fill_dispersion_mean,episode_fill_dispersion_sem,episode_lost_u_mean,episode_lost_u_sem,peak_backlog_ds1_mean,peak_backlog_ds1_sem,peak_backlog_ds2_mean,peak_backlog_ds2_sem,peak_backlog_system_mean,peak_backlog_system_sem,aub_ds1_during_post_mean,aub_ds1_during_post_sem,ttr_ds1_mean,ttr_ds1_sem,n_did_not_recover
a,19917.65,102.63020677220366,275.5,42.13683848955373,20193.15,102.42348299301804,185287.85,226.34221034577416,0.9996497363447487,8.696350700005406e-05,0.9997209800727992,5.998380422101211e-05,0.9996851286472637,5.2036220810459464e-05,-7.12437280505962e-05,0.0001074077138533362,3.9,0.5933845828447978,2082.05,31.34405634918768,2689457.0,4166.325157232624,2691539.05,4155.882709754561,-2544933.05,4059.725495954126,0.8288799884800169,0.00037038609063283587,0.655423312972217,0.00026650944461583835,0.7421363715385438,0.00024628759016125535,0.17345667550779992,0.00040644252650058686,1336.6,1.292488419982741,116920.9,329.4584863234311,1100192.0,2030.535526977004,1217112.9,2089.545687086327,-586269.9,2051.5028482348703,1.0172840774720417,0.0001297812535240526,1.0674438634841548,0.00015943533305365245,1.0423573501972625,0.00011106528660485382,-0.05015978601211281,0.00019012326213494352,427.15,0.8054910238318519,138920.6,346.897303171081,3789924.5,5853.834347313675,3928845.1,5889.105299708323,-2945915.1,5837.458693148111,0.9761711518575582,3.7060021431230204e-05,0.9714321161736276,3.101357789934116e-05,0.9738024422177272,2.579630541146602e-05,0.004739035683930759,4.48094012562166e-05,1767.65,1.7141439477722364,4299.55,4.779052427549109,104.35,2.0290975437630547,10964.15,13.090630437956705,142811.05,212.07834295993405,19.0,0.0,0
b,19918.1,102.06785410747706,275.0,42.37365119728855,20193.1,101.81254446543565,185287.9,226.6460595637817,0.9996497363447487,8.696350700005406e-05,0.9997209800727992,5.998380422101211e-05,0.9996851286472637,5.2036220810459464e-05,-7.12437280505962e-05,0.0001074077138533362,3.9,0.5933845828447978,1519.85,26.2131219651131,2182966.5,3810.280986668614,2184486.35,3807.153751941345,-2020191.85,3694.2658947952523,0.8252647549068429,0.0003561535093107966,0.8251815998889791,0.0003556525962861364,0.8252241424674563,0.0002633271628950441,8.315501786383405e-05,0.00047841246566114945,1293.1,1.2688577540449506,118310.85,415.7835170209568,563177.0,1032.4182394033105,681487.85,1107.1889447344163,-66773.35,1134.2195375420517,1.0189252217680018,0.00013667645061770254,1.018783063965839,0.00011772292679675754,1.0188538710521715,9.451367262448498e-05,0.00014215780216266793,0.00017129629813332606,297.1,0.9730581201876682,139748.8,461.8804333773423,2746418.5,4756.235202618943,2886167.3,4788.617432104247,-1901677.3,4759.153445342532,0.9764274419498845,3.227612718640189e-05,0.9763095807660898,3.2894748355482144e-05,0.976368616160063,2.776781521803863e-05,0.00011786118379462086,3.410171696829056e-05,1594.1,1.7989763170963868,3056.55,3.569221498487199,164.6,1.9593231914161189,7436.0,10.702188659580965,102080.1,166.39754078395325,14.0,0.0,0
c,19918.65,102.49118768280316,274.5,42.41074218439921,20193.15,102.34856014208451,185285.6,225.57477929199322,0.9996426781855166,8.574517962956807e-05,0.9997209800727992,5.998380422101211e-05,0.9996815775109,5.1275991420133983e-05,-7.830188728266685e-05,0.00010689763633923423,3.9,0.5753717333854239,6548.75,68.01976783104654,1027522.5,1827.9836281369808,1034071.25,1843.2105155421746,-831377.5,1697.993074655772,0.9627337989759905,0.0001497039254287626,0.9625299418040129,0.00018848999250573384,0.9626319779950656,0.0001424392251494262,0.00020385717197768383,0.00018604966531336514,502.1,2.1991625200229477,154635.5,309.39793402501476,150380.5,592.3185820414373,305016.0,714.3799225091714,287610.25,771.6262896772332,0.9999026173933047,2.9977203761666747e-05,0.9998702168582326,3.1452396301590966e-05,0.9998864169223152,1.9972018430309055e-05,3.2400535071896995e-05,4.669944321031015e-05,4.15,0.7264730950935051,181102.9,293.0408441084434,1178177.5,2150.486588144524,1359280.4,2285.740465536167,-358481.65,2278.3049531048546,0.992458515121949,3.2279213086965194e-05,0.992408149133453,3.854890441346172e-05,0.9924333725682019,2.9507222728050735e-05,5.0365988496070543e-05,3.9652575563729814e-05,510.15,1.9389022938929015,1097.65,1.619413474070165,592.3,3.033236936968408,3026.8,10.343469844353635,37857.1,100.68765930759406,7.05,0.05,0
d,19918.1,102.06785410747706,275.0,42.37365119728855,20193.1,101.81254446543565,185287.9,226.6460595637817,0.9996497363447487,8.696350700005406e-05,0.9997209800727992,5.998380422101211e-05,0.9996851286472637,5.2036220810459464e-05,-7.12437280505962e-05,0.0001074077138533362,3.9,0.5933845828447978,22729.6,136.5844909127487,203662.0,1162.8045950699495,226391.6,1208.5726627111137,-24228.85,1174.1302094809544,0.9830487738040912,0.00025826082818940395,0.9833448308508949,0.00020188309959054133,0.9831961768164961,0.00014292688011882068,-0.0002960570468038215,0.0003652812902884564,226.05,1.9887512612057259,89259.35,127.20876490407841,131800.0,873.5303447264405,221059.35,911.3891458271704,375738.9,873.5390296465229,0.9998701805617216,2.906082232265414e-05,0.9998128409304663,2.9846092260674034e-05,0.999841504515673,1.842698476496278e-05,5.7339631255243215e-05,4.596815960778002e-05,5.95,0.7125750191346429,131907.05,206.15709997092299,335737.0,1292.8396123100085,467644.05,1292.4029750307843,536797.95,1289.4117538323644,0.996479647186326,4.859321378375634e-05,0.9965163101340918,4.041838797919184e-05,0.9964979013694644,2.827827675310225e-05,-3.666294776590862e-05,6.922059012176915e-05,235.9,1.9082921546158549,366.0,3.0992358990394284,540.25,3.5650902402397433,1108.75,9.64743625611434,9991.1,82.4450343211192,44.9,0.06882472016116845,0
