pre_holding_cost,pre_backlog_cost,pre_system_cost,pre_profit_psc,pre_fill_hc1,pre_fill_hc2,pre_fill_agg,pre_fill_dispersion,pre_lost_u,during_holding_cost,during_backlog_cost,during_system_cost,during_profit_psc,during_fill_hc1,during_fill_hc2,during_fill_agg,during_fill_dispersion,during_lost_u,post_holding_cost,post_backlog_cost,post_system_cost,post_profit_psc,post_fill_hc1,post_fill_hc2,post_fill_agg,post_fill_dispersion,post_lost_u,episode_holding_cost,episode_backlog_cost,episode_system_cost,episode_profit_psc,episode_fill_hc1,episode_fill_hc2,episode_fill_agg,episode_fill_dispersion,episode_lost_u,peak_backlog_ds1,peak_backlog_ds2,peak_backlog_system,aub_ds1_during_post,ttr_ds1,rule,seed
16751.0,290.0,17041.0,158969.0,1.0,1.0,1.0,0.0,0,5739.0,939110.0,944849.0,-766009.0,1.0,1.0,1.0,0.0,0,134116.0,120420.0,254536.0,254999.0,1.0,1.0,1.0,0.0,0,156606.0,1059820.0,1216426.0,-352041.0,1.0,1.0,1.0,0.0,0,999.0,569.0,2907.0,33467.0,7,proportional,26
16580.0,660.0,17240.0,158290.0,0.9988344988344988,1.0,0.9994141769185706,-0.0011655011655011815,0,5645.0,931950.0,937595.0,-758390.0,1.0012237762237761,1.0,1.0006116742397764,0.0012237762237761185,0,132861.0,121460.0,254321.0,255239.0,1.0,1.0,1.0,0.0,0,155086.0,1054070.0,1209156.0,-344861.0,1.0,1.0,1.0,0.0,0,991.0,573.0,2834.0,33411.0,7,proportional,27
16963.0,110.0,17073.0,158382.0,1.0,1.0,1.0,0.0,0,5447.0,950690.0,956137.0,-775652.0,1.0,1.0,1.0,0.0,0,135746.0,121200.0,256946.0,251659.0,1.0,1.0,1.0,0.0,0,158156.0,1072000.0,1230156.0,-365611.0,1.0,1.0,1.0,0.0,0,999.0,559.0,2906.0,33668.0,7,proportional,28
16523.0,590.0,17113.0,158507.0,1.0,1.0,1.0,0.0,0,5963.0,960570.0,966533.0,-785548.0,1.0,1.0,1.0,0.0,0,136338.0,121840.0,258178.0,249967.0,1.0,1.0,1.0,0.0,0,158824.0,1083000.0,1241824.0,-377074.0,1.0,1.0,1.0,0.0,0,1012.0,599.0,2975.0,34080.0,7,proportional,29
16634.0,690.0,17324.0,158421.0,1.0,1.0,1.0,0.0,0,6382.0,973130.0,979512.0,-797782.0,1.0,1.0,1.0,0.0,0,136853.0,119880.0,256733.0,250072.0,1.0,1.0,1.0,0.0,0,159869.0,1093700.0,1253569.0,-389289.0,1.0,1.0,1.0,0.0,0,1019.0,596.0,2977.0,34489.0,7,proportional,30
17415.0,150.0,17565.0,158135.0,1.0,1.0,1.0,0.0,0,5558.0,954900.0,960458.0,-779278.0,1.0,1.0,1.0,0.0,0,135760.0,124580.0,260340.0,247970.0,1.0,1.0,1.0,0.0,0,158733.0,1079630.0,1238363.0,-373173.0,1.0,1.0,1.0,0.0,0,1010.0,566.0,2902.0,34015.0,7,equal,11
16381.0,690.0,17071.0,158959.0,1.0,1.0,1.0,0.0,0,6131.0,948200.0,954331.0,-774336.0,1.0,1.0,1.0,0.0,0,134893.0,122480.0,257373.0,251667.0,1.0,1.0,1.0,0.0,0,157405.0,1071370.0,1228775.0,-363710.0,1.0,1.0,1.0,0.0,0,1006.0,579.0,2915.0,34015.0,7,equal,12
15976.0,480.0,16456.0,161264.0,1.0,1.0,1.0,0.0,0,5858.0,938390.0,944248.0,-764858.0,1.0,1.0,1.0,0.0,0,133929.0,119630.0,253559.0,253241.0,1.0,1.0,1.0,0.0,0,155763.0,1058500.0,1214263.0,-350353.0,1.0,1.0,1.0,0.0,0,1002.0,559.0,2874.0,33552.0,7,equal,13
16062.0,570.0,16632.0,158768.0,1.0,1.0,1.0,0.0,0,5353.0,941440.0,946793.0,-766758.0,1.0,1.0,1.0,0.0,0,136948.0,119890.0,256838.0,252482.0,1.0,1.0,1.0,0.0,0,158363.0,1061900.0,1220263.0,-355508.0,1.0,1.0,1.0,0.0,0,995.0,559.0,2838.0,33275.0,7,equal,14
16953.0,400.0,17353.0,158622.0,0.9994972347913524,1.0,0.9997494571571739,-0.0005027652086475598,0,6156.0,961360.0,967516.0,-786246.0,1.0005210142410559,1.0,1.000259965337955,0.0005210142410558838,0,134890.0,118960.0,253850.0,254755.0,1.0,1.0,1.0,0.0,0,157999.0,1080720.0,1238719.0,-372869.0,1.0,1.0,1.0,0.0,0,1012.0,587.0,2969.0,34075.0,7,equal,15
