rule,pre_holding_cost_mean,pre_holding_cost_sem,pre_backlog_cost_mean,pre_backlog_cost_sem,pre_system_cost_mean,pre_system_cost_sem,pre_profit_psc_mean,pre_profit_psc_sem,pre_fill_hc1_mean,pre_fill_hc1_sem,pre_fill_hc2_mean,pre_fill_hc2_sem,pre_fill_agg_mean,pre_fill_agg_sem,pre_fill_dispersion_mean,pre_fill_dispersion_sem,pre_lost_u_mean,pre_lost_u_sem,during_holding_cost_mean,during_holding_cost_sem,during_backlog_cost_mean,during_backlog_cost_sem,during_system_cost_mean,during_system_cost_sem,during_profit_psc_mean,during_profit_psc_sem,during_fill_hc1_mean,during_fill_hc1_sem,during_fill_hc2_mean,during_fill_hc2_sem,during_fill_agg_mean,during_fill_agg_sem,during_fill_dispersion_mean,during_fill_dispersion_sem,during_lost_u_mean,during_lost_u_sem,post_holding_cost_mean,post_holding_cost_sem,post_backlog_cost_mean,post_backlog_cost_sem,post_system_cost_mean,post_system_cost_sem,post_profit_psc_mean,post_profit_psc_sem,post_fill_hc1_mean,post_fill_hc1_sem,post_fill_hc2_mean,post_fill_hc2_sem,post_fill_agg_mean,post_fill_agg_sem,post_fill_dispersion_mean,post_fill_dispersion_sem,post_lost_u_mean,post_lost_u_sem,episode_holding_cost_mean,episode_holding_cost_sem,episode_backlog_cost_mean,episode_backlog_cost_sem,episode_system_cost_mean,episode_system_cost_sem,episode_profit_psc_mean,episode_profit_psc_sem,episode_fill_hc1_mean,episode_fill_hc1_sem,episode_fill_hc2_mean,episode_fill_hc2_sem,episode_fill_agg_mean,episode_fill_agg_sem,episode_fill_dispersion_mean,episode_fill_dispersion_sem,episode_lost_u_mean,episode_lost_u_sem,peak_backlog_ds1_mean,peak_backlog_ds1_sem,peak_backlog_ds2_mean,peak_backlog_ds2_sem,peak_backlog_system_mean,peak_backlog_system_sem,aub_ds1_during_post_mean,aub_ds1_during_post_sem,ttr_ds1_mean,ttr_ds1_sem
backlog_priority,16635.15,90.08003093740686,440.0,55.9134669777656,17075.15,91.74674166019796,158906.85,229.59047379604982,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,5341.85,411.426557205152,1447194.5,10046.096452563575,1452536.35,9810.0723199424,-1272601.6,9864.974479226466,0.9941657708452963,0.002880687765734841,0.9976539452655399,0.0015433905313012816,0.9959216972670497,0.0015140184986279005,-0.003488174420243506,0.0034815510173376303,0.0,0.0,157640.15,2725.7131527218794,270911.0,9552.766777497667,428551.15,11999.041905452943,80201.35,11719.000773210146,1.00196012750336,0.0009592892613059548,1.0007892496650683,0.0005205657303609222,1.001372951836039,0.0005063139061687167,0.001170877838291845,0.0011636450606022396,0.0,0.0,179617.15,2354.2460166071273,1718545.5,18468.624097086216,1898162.65,20135.035518021163,-1033493.4,19965.627003401307,0.9999913569576491,8.64304235090949e-06,0.9999965415874114,3.4584125886178438e-06,0.9999939496733278,4.568207199165814e-06,-5.184629762289283e-06,9.476773791701296e-06,0.0,0.0,2104.7,37.91230185017717,542.65,8.997448468725366,4723.4,84.19643072819906,62927.2,1070.911735514724,10.1,0.12354415362426846
equal,16702.75,87.22463060518245,439.0,55.212031488187705,17141.75,80.88558764992479,158831.75,206.86819952250875,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,5904.55,69.13752408672231,947382.5,2532.940549824925,953287.05,2551.171505381093,-772991.8,2375.193633768568,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,135043.05,282.8884146294777,121159.0,360.35501500895646,256202.05,529.4975447236951,251959.95,557.5921706908998,0.9999854431116806,1.4556888319550244e-05,1.0,0.0,0.9999927151931931,7.284806806924145e-06,-1.4556888319550154e-05,1.4556888319550154e-05,0.0,0.0,157650.35,279.33533210669594,1068980.5,2597.158414295779,1226630.85,2775.4863085261,-362200.1,2755.40766579772,0.9999913569576491,8.64304235090949e-06,1.0,0.0,0.9999956801962918,4.319803708119648e-06,-8.643042350908737e-06,8.643042350908735e-06,0.0,0.0,1002.25,1.6557316716246788,573.45,2.997784269475671,2894.3,11.10810514894417,33761.35,73.56891774312494,7.0,0.0
prio_hc1,15695.0,87.40390211691455,494.5,57.61704334839237,16189.5,91.29078756773237,159793.0,234.31517236406253,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,5818.6,73.43222439057233,833908.5,2569.387831555867,839727.1,2582.023605522163,-659791.35,2405.9777466212863,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,121994.5,813.8028000495084,100816.5,1162.1541420999195,222811.0,1762.7772674778969,285560.0,1789.8845552304854,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,143508.1,799.7691637361106,935219.5,2760.187205226257,1078727.6,3178.991137882717,-214438.35,3172.755851965955,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,730.95,1.8317018258841604,680.05,5.00498435772307,2882.15,10.65765724231817,26630.15,101.29771844991332,6.05,0.05
prio_hc2,15677.05,81.52692403191266,465.0,58.545978332822905,16142.05,80.09555066819944,159837.95,221.8242722588267,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,5776.05,72.4724439465025,832840.0,2535.929809754204,838616.05,2540.5612190543998,-658730.3,2378.001500707771,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,121970.95,1088.193748410158,99357.0,1417.7012713321674,221327.95,2016.918803619703,287138.3,1938.1967515953418,0.9999854431116806,1.4556888319550244e-05,0.9999883418301394,8.02374140829862e-06,0.999986881227008,8.044670229427423e-06,-2.8987184588824543e-06,1.7150722563129603e-05,0.0,0.0,143424.05,1078.2287118842567,932662.0,2823.8365652722214,1076086.05,3189.0133744623877,-211754.05,3167.7242698613186,0.9999913569576491,8.64304235090949e-06,0.9999930699679009,4.769584822943296e-06,0.9999922201081406,4.7705757873451745e-06,-1.7130102517859402e-06,1.0186069978796626e-05,0.0,0.0,729.75,1.7454828920146352,681.35,5.194772169666044,2878.05,11.214059549465006,26456.85,147.16879451482703,6.0,0.0
proportional,16606.7,86.87504941308703,438.5,55.20905246138726,17045.2,81.71582981347781,158926.3,212.15180885394415,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,5905.2,68.9026620828634,948342.5,2525.1660575932524,954247.7,2543.109283306973,-773922.7,2363.2781782716047,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,134593.05,290.4437120483447,120818.5,354.19833501347176,255411.55,450.9179729057971,252660.2,531.4805764634248,0.9999854431116806,1.4556888319550244e-05,1.0,0.0,0.9999927151931931,7.284806806924145e-06,-1.4556888319550154e-05,1.4556888319550154e-05,0.0,0.0,157104.95,293.141707020235,1069599.5,2563.5899453490542,1226704.45,2802.2555844167305,-362336.2,2747.307681693978,0.9999913569576491,8.64304235090949e-06,1.0,0.0,0.9999956801962918,4.319803708119648e-06,-8.643042350908737e-06,8.643042350908735e-06,0.0,0.0,1004.05,1.5951818903052697,571.7,3.1665189254547657,2896.35,11.071840763610039,33797.25,71.75968209018329,7.0,0.0
serve_captive,16419.25,109.34043589200023,440.0,54.825080699295015,16859.25,102.69046168487421,159122.75,222.93417573473684,0.9999165866812925,6.223914378079453e-05,0.9999834299917151,1.6570008285004026e-05,0.9999498980722432,3.175580163118832e-05,-6.684331042243196e-05,6.552683919129104e-05,0.0,0.0,7673.9,170.38928956950315,1200169.5,14740.580265572637,1207843.4,14748.542140871165,-1026192.65,14680.479680115677,1.0000872395232416,6.52297437191683e-05,1.0000173340266945,1.733402669440379e-05,1.000052290504533,3.31415140695458e-05,6.990549654719568e-05,6.866271318035847e-05,0.0,0.0,150359.2,1901.1067851178307,158591.0,2985.168504456658,308950.2,4281.970757293396,198823.3,4248.814190051025,1.0,0.0,0.9999941537562116,5.8462437883643445e-06,0.99999708412305,2.9158769499934418e-06,5.8462437883655126e-06,5.846243788365513e-06,0.0,0.0,174452.35,1855.3800678524635,1359200.5,17274.055819654113,1533652.85,18050.132950563726,-668246.6,18036.585208870383,1.0,0.0,0.9999965283804896,3.4716195105026126e-06,0.9999982704348127,1.729565187314515e-06,3.471619510503343e-06,3.471619510503343e-06,0.0,0.0,1297.65,24.617951836649183,485.55,4.532035095325626,3480.5,58.322808574347654,44842.05,774.2905019741418,8.05,0.05
