seed,pre_holding_cost,pre_backlog_cost,pre_system_cost,pre_profit_psc,pre_fill_hc1,pre_fill_hc2,pre_fill_agg,pre_fill_dispersion,pre_lost_u,during_holding_cost,during_backlog_cost,during_system_cost,during_profit_psc,during_fill_hc1,during_fill_hc2,during_fill_agg,during_fill_dispersion,during_lost_u,post_holding_cost,post_backlog_cost,post_system_cost,post_profit_psc,post_fill_hc1,post_fill_hc2,post_fill_agg,post_fill_dispersion,post_lost_u,episode_holding_cost,episode_backlog_cost,episode_system_cost,episode_profit_psc,episode_fill_hc1,episode_fill_hc2,episode_fill_agg,episode_fill_dispersion,episode_lost_u,peak_backlog_ds1,peak_backlog_ds2,peak_backlog_system,aub_ds1_during_post,ttr_ds1,pre_bullwhip_ds1,pre_bullwhip_ds2,during_bullwhip_ds1,during_bullwhip_ds2,post_bullwhip_ds1,post_bullwhip_ds2,episode_bullwhip_ds1,episode_bullwhip_ds2,policy,premium,coverage,dp_cost
26,15667.0,290.0,15957.0,160063.0,1.0,1.0,1.0,0.0,0,5041.0,849020.0,854061.0,-675831.0,1.0,1.0,1.0,0.0,0,121519.0,95960.0,217479.0,292006.0,1.0,1.0,1.0,0.0,0,142227.0,945270.0,1087497.0,-223762.0,1.0,1.0,1.0,0.0,0,750.0,677.0,2863.0,26146.0,7,1.5272882399805627,1.5272882399805627,1.5690026030586885,1.0919014913736844,1.1272019903785395,1.1552994944750674,1.1371501201557537,1.1999367367900429,h1_recovery_writeoff,0.0,-29617.0,1071540.0
27,16148.0,660.0,16808.0,158752.0,0.9988344988344988,1.0,0.9994141769185706,-0.0011655011655011815,0,4655.0,838600.0,843255.0,-664290.0,1.0012237762237761,1.0,1.0006116742397764,0.0012237762237761185,0,120786.0,98550.0,219336.0,289914.0,1.0,1.0,1.0,0.0,0,141589.0,937810.0,1079399.0,-215624.0,1.0,1.0,1.0,0.0,0,749.0,662.0,2819.0,26685.0,7,1.5895626170263053,1.5895626170263053,1.5156500883087998,1.0410749612387216,1.1582034097547695,1.1427219979930137,1.140255333568502,1.1859509743765877,h1_recovery_writeoff,0.0,-19180.0,1062591.0
28,16153.0,110.0,16263.0,159212.0,1.0,1.0,1.0,0.0,0,4461.0,857360.0,861821.0,-681846.0,1.0,1.0,1.0,0.0,0,121978.0,95020.0,216998.0,291422.0,1.0,1.0,1.0,0.0,0,142592.0,952490.0,1095082.0,-231212.0,1.0,1.0,1.0,0.0,0,751.0,687.0,2883.0,26376.0,7,1.1923840613069585,1.1923840613069585,1.5690976362377187,1.0630494734587583,1.1166968928765453,1.1343234014556633,1.1290444241033037,1.1861840490990643,h1_recovery_writeoff,0.0,-21642.0,1078819.0
29,15621.0,610.0,16231.0,159399.0,1.0,1.0,1.0,0.0,0,4902.0,858360.0,863262.0,-682947.0,1.0,1.0,1.0,0.0,0,122568.0,97820.0,220388.0,287617.0,1.0,1.0,1.0,0.0,0,143091.0,956790.0,1099881.0,-235931.0,1.0,1.0,1.0,0.0,0,753.0,677.0,2877.0,26662.0,7,1.4020833333333336,1.4020833333333336,1.5468535014716964,1.1003557193155458,1.1382617304992981,1.144938903766244,1.1394290426750637,1.1987891595597542,h1_recovery_writeoff,0.0,2305.0,1083650.0
30,15951.0,1000.0,16951.0,158784.0,1.0,1.0,1.0,0.0,0,5312.0,884410.0,889722.0,-708332.0,1.0,1.0,1.0,0.0,0,123470.0,102340.0,225810.0,280450.0,1.0,0.9998830751242327,0.9999416824610001,0.00011692487576731025,0,144733.0,987750.0,1132483.0,-269098.0,1.0,0.9999305676097899,0.9999654086962537,6.943239021006686e-05,0,776.0,714.0,2980.0,27954.0,7,1.756785938480854,1.756785938480854,1.537514171301709,1.0923055517335314,1.1853313252454074,1.1287385572021482,1.156208836573501,1.1943237712476336,h1_recovery_writeoff,0.0,-22520.0,1115532.0
11,16247.0,390.0,16637.0,159043.0,1.0,1.0,1.0,0.0,0,2966.0,828480.0,831446.0,-652761.0,1.0,1.0,1.0,0.0,0,116893.0,103750.0,220643.0,289792.0,1.0,1.0,1.0,0.0,0,136106.0,932620.0,1068726.0,-203926.0,1.0,1.0,1.0,0.0,0,725.0,648.0,2837.0,26535.0,6,1.9577192122041245,1.9577192122041245,1.5455235008103732,1.0677877161141374,1.1047377677330144,1.1787072621792904,1.1307763054428759,1.2102849670101932,h1b_gamma,0.0,17003.0,1052089.0
12,15286.0,740.0,16026.0,160004.0,1.0,1.0,1.0,0.0,0,3404.0,825630.0,829034.0,-651504.0,1.0,1.0,1.0,0.0,0,121624.0,96560.0,218184.0,293791.0,1.0,1.0,1.0,0.0,0,140314.0,922930.0,1063244.0,-197709.0,1.0,1.0,1.0,0.0,0,725.0,612.0,2849.0,26444.0,6,1.2687180247035532,1.2687180247035532,1.5295163793199102,1.088563381653239,1.1017842102672017,1.0771785571724655,1.1211168806115073,1.174550047526405,h1b_gamma,0.0,9854.0,1047218.0
13,14717.0,490.0,15207.0,162513.0,1.0,1.0,1.0,0.0,0,3368.0,813960.0,817328.0,-640443.0,1.0,1.0,1.0,0.0,0,116603.0,99560.0,216163.0,292942.0,1.0,1.0,1.0,0.0,0,134688.0,914010.0,1048698.0,-184988.0,1.0,1.0,1.0,0.0,0,718.0,595.0,2793.0,26126.0,6,1.5133739645728188,1.5133739645728188,1.5735868190074875,1.1076397669844007,1.1200304231361284,1.1694648727021886,1.1333579764958779,1.2115105416655492,h1b_gamma,0.0,15933.0,1033491.0
14,15142.0,570.0,15712.0,159688.0,1.0,1.0,1.0,0.0,0,2948.0,824670.0,827618.0,-649923.0,1.0,1.0,1.0,0.0,0,113855.0,96540.0,210395.0,300370.0,1.0,1.0,1.0,0.0,0,131945.0,921780.0,1053725.0,-189865.0,1.0,1.0,1.0,0.0,0,721.0,597.0,2787.0,26166.0,6,1.8307989167230876,1.8307989167230876,1.5665230324636026,1.1041956774124229,1.1609472204991529,1.1548977259029032,1.1514367805410914,1.2110269048390792,h1b_gamma,0.0,21924.0,1038013.0
15,15695.0,380.0,16075.0,159890.0,0.9994972347913524,1.0,0.9997494571571739,-0.0005027652086475598,0,3366.0,839440.0,842806.0,-664011.0,1.0005210142410559,1.0,1.000259965337955,0.0005210142410558838,0,115600.0,95360.0,210960.0,299905.0,1.0,1.0,1.0,0.0,0,134661.0,935180.0,1069841.0,-204216.0,1.0,1.0,1.0,0.0,0,732.0,640.0,2881.0,26462.0,6,1.4085240830755636,1.4085240830755636,1.528100869027389,1.1153665496778187,1.2045140401941594,1.1507602483423596,1.1638217219740588,1.211234292343894,h1b_gamma,0.0,32112.0,1053766.0
